LANGUAGE,  English

STRM_mission_name, AussieLife: Reloaded v0.4 - Stats Save!
STRM_mission_desc, A RPG Mission by the aussielifereloaded.com community!

STRS_login_new, "We have detected that you do not currently have a Aussie Life: Reloaded account. All accounts are registered using your Player ID (a unique number generated from your CD Key). Before you can play ALR:R you will need to generate a password to associate with your Player ID to ensure it is fully secure. You cannot registered more than one account.<br /><br />Please remember your password as will not be able to access your game account without it."

STRS_login_exists, "We have detected that already have a Aussie Life: Reloaded account. Please enter your password to login to the mission, if you have forgotten your password please contact a Senior Admin to assist you in recovering it."

STRS_phone_sms_recieve, "<t color='#4876FF'>SMS</t><br/><t color='#009900'>%1:</t> %2"
STRS_phone_sms_failed, "<t color='#4876FF'>SMS</t><br/>The SMS you have sent to <t color='#009900'>%1</t> has failed."

STRS_medical_revive_start, "<t color='#4876FF'>Medical</t><br/>You start trying to stabilize patient <t color='#009900'>%1</t>, this could take some time!"
STRS_medical_revive_success, "<t color='#4876FF'>Medical</t><br/>You have stabilized the patient, you must get him to hospital urgently."
STRS_medical_revive_fail, "<t color='#4876FF'>Medical</t><br/>Unfortunately the patient has passed away and you was unable to save him."
STRS_medical_revive_stabilized,  "<t color='#4876FF'>Medical</t><br/>You have been stabilized by <t color='#009900'>%1</t>!"
STRS_medical_revive_require, "<t color='#4876FF'>Medical</t><br/>You require a <t color='#009900'>%1</t> to stabilize the patient."

STRS_medical_dragging_stop, "<t color='#4876FF'>Medical</t><br/>You stop dragging <t color='#009900'>%1</t>"
STRS_medical_dragging_start, "<t color='#4876FF'>Medical</t><br/>You start dragging <t color='#009900'>%1</t>"
STRS_medical_dragging_vehicle, "<t color='#4876FF'>Medical</t><br/>You place <t color='#009900'>%1</t> into the vehicle."

STRS_vehicle_seatbelt_on, "<t color='#4876FF'>Vehicle</t><br/>You put your seatbelt on."
STRS_vehicle_seatbelt_off, "<t color='#4876FF'>Vehicle</t><br/>You've taken your seatbelt off."

STRS_respawn_emsLoss, "<t color='#4876FF'>Respawn</t><br/>You have died and have lost <t color='#FF0000'>$%1</t> for your medical bills."

STRS_event_vcl_entered, "<t color='#4876FF'>Vehicle</t><br/><t color='#009900'>%1</t> has entered your vehicle."
STRS_event_vcl_left, "<t color='#4876FF'>Vehicle</t><br/><t color='#009900'>%1</t> has left your vehicle."

STRS_object_place, "<t color='#4876FF'>Object</t><br/>You have placed a <t color='#009900'>%1</t> here."
